col1, col2, col3, col4, col5, col6, col7
1606275600,100000.0,100000.0,100000.0,100000.0,0.00318,1
1606298400,148716.9,148716.9,148716.9,148716.9,0.00349477,2
1606299900,85435.1,85435.1,85435.0,85435.0,0.00233582,3
1606300500,74035.1,74035.1,74035.0,74035.0,0.00443512,3
1606300800,43412.1,43412.2,43412.1,43412.2,0.00792999,6
1606301100,29315.4,29315.4,22534.6,29315.3,0.02064417,5
1606301400,22666.6,22669.2,22666.5,22669.1,0.19451561,5
1606302300,22675.3,22675.3,22675.2,22675.2,0.105,2
1606302600,24034.5,24034.5,24034.4,24034.4,0.00633369,2
1606303800,26000.0,26000.0,24010.0,24010.0,0.20292372,12
1606304400,39995.8,39996.0,39995.8,39996.0,0.00363108,4
1606304700,27006.1,27007.7,27000.0,27007.7,0.20374463,8
1606305600,32000.0,32000.0,28106.9,28106.9,0.00305648,4
1606305900,28124.7,28126.9,28000.0,28126.8,0.21346586,10
1606306200,31998.2,32000.0,31998.2,32000.0,0.0050743,5
1606306500,32000.0,32000.0,24808.7,24808.7,0.03627354,10
1606306800,31999.9,32000.0,31999.9,32000.0,0.00770213,3
1606307400,27044.2,27044.2,27040.9,27040.9,0.03394513,3
1606307700,27041.0,27041.0,27040.9,27041.0,0.01875211,6
1606308000,27041.0,27041.0,27040.6,27041.0,0.02293189,4
1606308300,25000.0,25000.0,25000.0,25000.0,0.003006,1
1606308600,25000.0,25000.0,22102.1,24750.0,0.03299806,10
1606308900,22539.0,22540.0,22539.0,22540.0,0.0071056,4
1606310100,22987.0,22987.0,19201.2,19201.2,0.1338071,8
1606310400,19248.5,19248.5,19248.5,19248.5,0.00907012,2
1606310700,19248.5,19248.5,19248.5,19248.5,0.00723249,1
1606311000,19281.3,19281.3,19270.3,19270.3,0.3145644,6
1606313400,19199.0,19199.0,19199.0,19199.0,0.04515322,1
1606313700,19199.0,19199.0,19199.0,19199.0,0.00693678,1
1606314300,19148.3,19148.3,19148.3,19148.3,0.0125,1
1606314900,19206.4,19206.4,19206.4,19206.4,1,6
1606321800,24958.8,24958.9,24958.8,24958.9,0.01,2
1606323300,19405.2,19405.2,19400.0,19400.0,0.01589119,3
1606323600,24949.3,24958.0,24949.3,24958.0,0.03278913,3
1606325100,24942.9,24999.0,24942.9,24999.0,0.16073899,11
1606326600,24956.9,24956.9,24956.9,24956.9,0.00401,1
1606326900,24956.9,24956.9,24956.9,24956.9,0.042,1
1606328700,24958.0,24958.0,24958.0,24958.0,0.001,1
1606330800,24999.0,24999.0,24999.0,24999.0,0.00882363,7
1606337700,24998.9,24999.0,24998.9,24999.0,0.01,2
1606338900,19991.6,19991.6,19991.5,19991.5,0.07444373,2
1606339200,20009.2,20009.2,20009.2,20009.2,0.01,3
1606343400,20606.1,24899.5,19000.0,24899.5,0.51491869,12
1606343700,19251.3,19251.3,19014.5,19014.5,0.224,2
1606344000,19029.8,19038.6,19020.0,19020.0,0.48554,10
1606346100,20997.6,20999.0,20997.6,20999.0,0.00966896,4
1606349100,20999.0,20999.0,20999.0,20999.0,0.007,1
1606353900,20000.0,20000.0,20000.0,20000.0,0.00401219,2
1606354200,19027.8,19027.8,19027.8,19027.8,0.00298781,3
1606357500,20998.9,20998.9,20998.9,20998.9,0.0012345,1
1606360200,19508.5,19508.5,19508.4,19508.4,0.15,2
1606372500,19030.7,19030.7,19030.7,19030.7,0.0218417,3
1606376700,19128.5,19128.5,19128.5,19128.5,0.00829105,1
1606377300,20998.9,20998.9,20998.9,20998.9,0.00271245,1
1606380000,20900.1,20900.1,20900.0,20900.0,0.06594902,6
1606380600,20900.0,20900.0,20900.0,20900.0,0.03676755,2
1606383300,19023.5,19023.5,19023.5,19023.5,0.03,1
1606383900,19022.8,19022.8,19022.8,19022.8,0.00614,3
1606388100,20997.7,20999.0,20997.7,20999.0,0.00872572,3
1606391700,19322.4,19322.4,19300.0,19300.0,0.15,4
1606392000,19092.0,19092.0,19092.0,19092.0,0.0025,1
1606392600,19022.1,19022.1,19022.1,19022.1,0.00262852,1
1606393200,20195.8,20495.9,20195.8,20495.9,0.01298702,6
1606397400,20489.9,20489.9,20489.9,20489.9,0.00249686,1
1606399500,17853.8,17853.8,17853.8,17853.8,0.175,3
1606400700,17854.0,17854.0,17853.8,17853.8,0.01729321,3
1606404900,17854.0,17854.0,17854.0,17854.0,0.0699999,4
1606407300,17854.0,17854.0,17854.0,17854.0,0.0250001,1
1606420200,19777.7,19777.7,19777.7,19777.7,0.025,1
1606422300,19767.3,19767.3,19767.3,19767.3,0.001,1
1606456800,17400.0,17400.0,17400.0,17400.0,0.0096,3
1606457700,17415.0,17415.0,17415.0,17415.0,0.03889002,2
